Car Added,WooCommerce Autos DB ID,Base Car ID,Exp. Car ID,Year Min,Year Max,Parent Manufacturer,Make|Include,Model|Include,VehicleTypeName,Region|Include,Sub Model|Include,Wheelbase|Include,Transmission Type|Include,Transmission Num Speeds|Include,Transmission Control Type|Include,Transmission Mfr Code|Include,Transmission Elec Controlled|Include,Transmission Mfr|Include,Steering Type|Include,Steering System ID|Include,Front Spring Type|Include,Rear Spring Type|Include,Mfr Body Code|Include,Drive Type|Include,Liter|Include,CC|Include,CID|Include,Cylinders|Include,BInlineock Type|IncInlineude,Engine Bore In|Include,Engine Bore Metric|Include,Engine Stroke In|Include,Engine Stroke Metric|Include,Engine Designation|Include,Engine VIN|Include,Valves|Include,Fuel Delivery Type|Include,Fuel Delivery SubType|Include,Fuel System Control Type|Include,Fuel System Design|Include,Aspiration|Include,Cylinder Head Type|Include,Fuel Type|Include,Ignition System|Include,Engine Mfr|Include,Engine Version|Include,Power Output|Include,Body Num Doors|Include,Types|Include,Bed Lengths|Include,Bed Types|Include,Front|Include,Rear|Include,ABS|Include,Brake System|Include,Asset Name,Asset Item Ref,Reference,Engine Tag,Engine Human Readable
,,1979_Plymouth_Volare,1979_Plymouth_Volare_3.7L_2 Dr. Coupe_6,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,2 Dr. Coupe,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_3.7L_4 Dr. Wagon_6,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Wagon,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.9L_4 Dr. Sedan_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.9L_2 Dr. Coupe_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,2 Dr. Coupe,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.9L_4 Dr. Wagon_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Wagon,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.2L_4 Dr. Sedan_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.2L_2 Dr. Coupe_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,2 Dr. Coupe,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_5.2L_4 Dr. Wagon_8,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Wagon,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,3546,1928_Plymouth_Model Q,1928_Plymouth_Model Q,1928,1928,,Plymouth,Model Q,Car,USA,Base,,,,,,,,,,,,,,,,170,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_4,170 CID Inline 4 
,3542,1928_Dodge_Victory Six,1928_Dodge_Victory Six,1928,1928,,Dodge,Victory Six,Car,USA,Base,,,,,,,,,,,,,,,,208,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208_Inline_6,208 CID Inline 6 
