Inventory ID,Description, Level-3 
PLY-HLR-355,72 Plymouth Satellite Custom 4 Door Sedan 4 Bow Headliner Perforated, $ 79.50 
PLY-HLR-370,75 Plymouth Valiant 4 Door Sedan 4 Bow Headliner Perforated, $ 79.50 
PLY-KPI-050,57/59 Plymouth Kick Panel Insulation, $ 16.80 
PLY-KPI-060,63/65 Belvedere Kick Panel Insulation 3pc, $ 32.10 
PLY-KPI-070,64/66 Valiant Kick Panel Insulation, $ 30.60 
PLY-KPN-040,39 Plymouth Sedan Kick Panels w/Binding, $ 26.10 
PLY-KPN-045,40/41 Plymouth Kick Panels w/Binding, $ 26.10 
PLY-KPN-050,46/48 Plymouth Kick Panels w/Binding, $ 24.60 
PLY-KPN-055,49/50 Plymouth Kick Panels w/Binding, $ 22.70 
PLY-KPN-060,53/54 Plymouth Kick Panels, $ 17.40 
PLY-KPN-065,55/56 Plymouth Kick Panels w/Binding, $ 23.10 
PLY-KPN-070,57/58 Plymouth Kick Panels, $ 17.40 
PLY-KPN-075,59 Plymouth Kick Panels, $ 17.30 
PLY-KPN-080,60 Plymouth Coupe Kick Panels, $ 16.90 
PLY-KPN-085,61/62 Valiant Kick Panels, $ 30.20 
PLY-MHI-050,67/76 Valiant & Scamp Hood Insulation Molded, $ 78.40 
PLY-MIS-001,34/90 Butyl Rubber Automotive sealant tape 3/8th inch by 50 Foot, $ 12.70 
PLY-MIS-020,62/77 Plymouth Gas Tank Strap Anti Squeak Kit 2pc, $ 8.00 
PLY-MIS-110,39 Plymouth Sedan Rear Seat Floor Trim panel 1Pc Brown Panelboard, $ 13.30 
PLY-MIS-375,49/50 Plymouth Heater Duct (under hood) ( Lower Box Fender Length 4 Inches), $ 42.20 
PLY-MIS-376,49/50 Plymouth Heater Duct Second Design (under hood) (Lower Box Fender Length 10 Inches), $ 42.20 
PLY-MIS-425,55/56 Plymouth 2 Door Hardtop Door access panels 8Pc, $ 18.00 
PLY-MIS-510,62/65 Plymouth Heater Box Seal Kit 4Pc, $ 16.80 
PLY-MIS-512,62/65 Plymouth A/C Heater Box Seal Kit 7Pc, $ 17.00 
PLY-MIS-525,62 Plymouth Radio Delete Speaker Cover 1pc, $ 8.40 
PLY-MIS-585,63 Plymouth A/C & Heater Control Lamp Illumination Blind 2pc, $ 8.20 
PLY-MIS-590,63 Plymouth Pushbutton Transmission Dust cover 1pc, $ 9.00 
PLY-PTI-215,63 Plymouth 2 Door Sedan Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-PTI-220,64/65 Plymouth 2 Door Hardtop Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-PTI-225,64/65 Plymouth 2&4 Door Sedan Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-PTJ-140,46 Plymouth Club Coupe Package Tray Jute, $ 11.60 
PLY-PTJ-190,60/61 Valiant Package Tray Jute, $ 12.60 
PLY-PTJ-200,62 Valiant Package Tray Jute, $ 13.10 
PLY-PTJ-205,63 Belvedere Package Tray Jute, $ 11.70 
PLY-PTJ-210,63/65 Valiant Signet Package Tray Jute, $ 11.90 
PLY-PTJ-215,63/65 Valiant 2 Door Sedan Package Tray Jute, $ 12.50 
PLY-PTJ-220,64 Belvedere Package Tray Jute, $ 11.80 
PLY-PTJ-225,64 Savoy 2 Door Sedan Package Tray Jute, $ 11.70 
PLY-PTJ-240,65 Satellite & Belvedere Package Tray Jute, $ 11.80 
PLY-PTJ-245,65 Belvedere Sedan Package Tray Jute, $ 11.80 
PLY-PTJ-255,66 Valiant 2 Door Package Tray Jute, $ 11.80 
PLY-PTJ-260,67/69 Valiant 2&4 Door Sedan Package Tray Jute, $ 11.70 
PLY-PTJ-270,68/70 Satellite 4 Door Package Tray Jute, $ 12.30 
PLY-PTJ-300,76/80 Plymouth Volare Package Tray Jute, $ 13.00 
PLY-PTR-120,39 Plymouth 4 Door Sedan Package Tray Regular, $ 27.30 
PLY-PTR-130,40/48 Plymouth 2&4 Door Sedan Package Tray Regular w/Binding, $ 27.80 
PLY-PTR-135,41 Plymouth Special Deluxe 2 Door Coupe Package Tray NO VINYL!, $ 29.20 
PLY-PTR-140,46 Plymouth Club Coupe Package Tray Regular NO VINYL!, $ 23.50 
PLY-PTR-145,"46/48 Plymouth Business Coupe Rear Cargo Set (PT, TD & ¼ Panels) NO VINYL!", $ 58.90 
PLY-PTR-154,49 Plymouth 2 Door Sedan Package Tray Regular, $ 23.00 
PLY-PTR-155,49/50 Plymouth Business Coupe Package Tray Regular NO VINYL!, $ 26.20 
PLY-PTR-156,49 Plymouth 4 Door Sedan Package Tray Regular, $ 22.50 
