Car Added,WooCommerce Autos DB ID,Base Car ID,Exp. Car ID,Year Min,Year Max,Parent Manufacturer,Make|Include,Model|Include,VehicleTypeName,Region|Include,Sub Model|Include,Wheelbase|Include,Transmission Type|Include,Transmission Num Speeds|Include,Transmission Control Type|Include,Transmission Mfr Code|Include,Transmission Elec Controlled|Include,Transmission Mfr|Include,Steering Type|Include,Steering System ID|Include,Front Spring Type|Include,Rear Spring Type|Include,Mfr Body Code|Include,Drive Type|Include,Liter|Include,CC|Include,CID|Include,Cylinders|Include,BInlineock Type|IncInlineude,Engine Bore In|Include,Engine Bore Metric|Include,Engine Stroke In|Include,Engine Stroke Metric|Include,Engine Designation|Include,Engine VIN|Include,Valves|Include,Fuel Delivery Type|Include,Fuel Delivery SubType|Include,Fuel System Control Type|Include,Fuel System Design|Include,Aspiration|Include,Cylinder Head Type|Include,Fuel Type|Include,Ignition System|Include,Engine Mfr|Include,Engine Version|Include,Power Output|Include,Body Num Doors|Include,Types|Include,Bed Lengths|Include,Bed Types|Include,Front|Include,Rear|Include,ABS|Include,Brake System|Include,Asset Name,Asset Item Ref,Reference,Engine Tag,Engine Human Readable
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_7.2L_2 Dr. Standard Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,7.2,7211,440,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440_V_8,440 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_7.2L_3 Dr. Extended Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,7.2,7211,440,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440_V_8,440 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.2L_2 Dr. Standard Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.2L_3 Dr. Extended Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.9L_2 Dr. Standard Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.9L_3 Dr. Extended Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.9L_2 Dr. Standard Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
